model,format,n_test,precision,recall,f1,f1_opt,opt_thr,auc,ap,brier,p_at_r95
LGBM,pdf,2895,0.998,0.9987,0.9983,0.9987,0.844,0.9999,0.9999,0.0015,0.9993
XGB,pdf,2895,0.9987,0.9987,0.9987,0.9987,0.8399999737739563,0.9996,0.9997,0.0014,1.0
RF_FAST,pdf,2895,0.9973,0.9973,0.9973,0.998,0.52,0.9999,0.9999,0.0028,0.9993
RF_FULL,pdf,2895,0.9973,0.9973,0.9973,0.9977,0.397,0.9999,0.9999,0.0028,1.0
MLP,pdf,2895,0.998,0.998,0.998,0.9983,0.734,0.9991,0.9994,0.0022,0.9993
LGBM,html,3000,0.9488,0.9393,0.9441,0.9468,0.36,0.9878,0.9889,0.0409,0.9406
XGB,html,3000,0.9465,0.9433,0.9449,0.9473,0.4169999957084656,0.9872,0.9885,0.0414,0.9426
RF_FAST,html,3000,0.9237,0.92,0.9218,0.9233,0.496,0.9754,0.9779,0.0622,0.8732
RF_FULL,html,3000,0.9342,0.9273,0.9307,0.9319,0.494,0.9803,0.9823,0.0568,0.9094
MLP,html,3000,0.9247,0.9247,0.9247,0.9265,0.438,0.9667,0.9647,0.0616,0.884
LGBM,word,3000,1.0,1.0,1.0,1.0,0.51,1.0,1.0,0.2401,1.0
XGB,word,3000,1.0,1.0,1.0,1.0,0.5249999761581421,1.0,1.0,0.2257,1.0
RF_FAST,word,3000,1.0,1.0,1.0,1.0,0.832,1.0,1.0,0.0001,1.0
RF_FULL,word,3000,0.9993,1.0,0.9997,1.0,0.843,1.0,1.0,0.0001,1.0
MLP,word,3000,0.9993,1.0,0.9997,0.9997,0.965,1.0,1.0,0.0003,1.0
LGBM,excel,3000,1.0,1.0,1.0,1.0,0.754,1.0,1.0,0.0001,1.0
XGB,excel,3000,0.9987,1.0,0.9993,1.0,0.7960000038146973,1.0,1.0,0.0226,1.0
RF_FAST,excel,3000,0.9993,1.0,0.9997,1.0,0.839,1.0,1.0,0.0002,1.0
RF_FULL,excel,3000,0.9993,1.0,0.9997,1.0,0.819,1.0,1.0,0.0002,1.0
MLP,excel,3000,1.0,1.0,1.0,1.0,0.986,1.0,1.0,0.0001,1.0
LGBM,qr,7416,0.4953,1.0,0.6625,0.6625,0.501,0.5,0.4953,0.25,0.4953
XGB,qr,7416,0.4953,1.0,0.6625,0.6625,0.5009999871253967,0.5,0.4953,0.25,0.4953
RF_FAST,qr,7416,0.4953,1.0,0.6625,0.6625,0.501,0.5,0.4953,0.25,0.4953
RF_FULL,qr,7416,0.4953,1.0,0.6625,0.6625,0.501,0.5,0.4953,0.25,0.4953
MLP,qr,7416,0.4953,1.0,0.6625,0.6625,0.516,0.5,0.4953,0.2504,0.4953
STACK,html,3000,0.9495,0.94,0.9447,0.0,0.5,0.9858,0.9874,0.0418,0.9425
