model,format,n_test,precision,recall,f1,auc,ap,p_at_r95
LGBM,pdf,2895,0.998,0.9987,0.9983,0.9999,0.9999,0.9993
RF_FAST,pdf,2895,0.9973,0.9973,0.9973,0.9999,0.9999,0.9993
RF_FULL,pdf,2895,0.9973,0.9973,0.9973,0.9999,0.9999,1.0
MLP,pdf,2895,0.998,0.998,0.998,0.9991,0.9994,0.9993
LGBM,html,3000,0.9488,0.9393,0.9441,0.9878,0.9889,0.9406
RF_FAST,html,3000,0.9237,0.92,0.9218,0.9754,0.9779,0.8732
RF_FULL,html,3000,0.9342,0.9273,0.9307,0.9803,0.9823,0.9094
MLP,html,3000,0.9247,0.9247,0.9247,0.9667,0.9647,0.884
LGBM,word,3000,1.0,1.0,1.0,1.0,1.0,1.0
RF_FAST,word,3000,1.0,1.0,1.0,1.0,1.0,1.0
RF_FULL,word,3000,0.9993,1.0,0.9997,1.0,1.0,1.0
MLP,word,3000,0.9993,1.0,0.9997,1.0,1.0,1.0
LGBM,excel,3000,1.0,1.0,1.0,1.0,1.0,1.0
RF_FAST,excel,3000,0.9993,1.0,0.9997,1.0,1.0,1.0
RF_FULL,excel,3000,0.9993,1.0,0.9997,1.0,1.0,1.0
MLP,excel,3000,1.0,1.0,1.0,1.0,1.0,1.0
LGBM,qr,7416,0.9434,0.9219,0.9325,0.9814,0.9835,0.9025
RF_FAST,qr,7416,0.9526,0.8432,0.8946,0.966,0.9704,0.8036
RF_FULL,qr,7416,0.9501,0.8873,0.9176,0.9763,0.9788,0.8605
MLP,qr,7416,0.9394,0.9121,0.9255,0.9767,0.9801,0.8789
STACK,html,3000,0.9508,0.94,0.9454,0.9855,0.9871,0.0
